Accident_ID,Date,Time,Time_Period,Location,Latitude,Longitude,Weather,Road_Condition,Road_Type,Light_Condition,Severity,Vehicles_Involved,Casualties
A00001,2023-01-01,06:10,Morning,Junction Road,19.218621,72.772455,Rainy,Wet,Expressway,Daylight,Fatal,2,2
A00002,2023-01-01,19:30,Evening,Industrial Area,19.240612,73.055098,Clear,Wet,Highway,Dusk,Severe,2,3
A00003,2023-01-02,14:50,Afternoon,College Road,19.149269,72.929786,Foggy,Wet,Urban Road,Daylight,Minor,4,0
A00004,2023-01-02,10:10,Morning,Main Highway,19.039037,72.955836,Rainy,Dry,Urban Road,Daylight,Moderate,2,1
A00005,2023-01-03,07:30,Morning,Main Highway,19.147635,72.87995,Rainy,Wet,Urban Road,Daylight,Minor,2,2
A00006,2023-01-03,20:50,Evening,Junction Road,19.13378,72.984442,Foggy,Poor,Urban Road,Dusk,Moderate,2,0
A00007,2023-01-04,06:50,Morning,Junction Road,19.14261,72.901124,Clear,Poor,Residential Road,Daylight,Minor,4,1
A00008,2023-01-04,18:10,Evening,Airport Road,19.147704,73.01646,Rainy,Wet,Highway,Dusk,Moderate,2,0
A00009,2023-01-05,22:40,Night,Bridge Road,19.238823,73.037491,Clear,Dry,Expressway,Dark,Moderate,5,2
A00010,2023-01-05,10:40,Morning,Expressway,18.968033,72.985147,Foggy,Dry,Expressway,Daylight,Minor,1,1
A00011,2023-01-06,10:50,Morning,College Road,19.046918,72.921967,Clear,Dry,Urban Road,Daylight,Severe,2,1
A00012,2023-01-07,23:40,Night,Ring Road,19.134401,73.023794,Rainy,Wet,Urban Road,Dark,Minor,2,1
A00013,2023-01-07,20:00,Evening,College Road,19.013331,72.923,Foggy,Wet,Urban Road,Dusk,Minor,3,0
A00014,2023-01-08,03:50,Night,Ring Road,19.291261,72.789028,Clear,Dry,Urban Road,Dark,Minor,4,2
A00015,2023-01-08,07:50,Morning,Bridge Road,19.00526,72.790719,Clear,Dry,Residential Road,Daylight,Minor,1,0
A00016,2023-01-09,23:30,Night,Ring Road,19.087852,73.082004,Rainy,Wet,Urban Road,Dark,Minor,1,0
A00017,2023-01-09,02:40,Night,Station Road,19.250946,72.824747,Cloudy,Dry,Residential Road,Dark,Severe,3,0
A00018,2023-01-10,21:50,Night,College Road,18.932025,73.035574,Clear,Dry,Urban Road,Dark,Minor,2,2
A00019,2023-01-10,20:00,Evening,Junction Road,19.228275,72.836347,Clear,Dry,Urban Road,Dusk,Moderate,2,1
A00020,2023-01-11,01:30,Night,Market Road,19.128403,72.900773,Clear,Dry,Highway,Dark,Minor,1,1
A00021,2023-01-11,23:10,Night,Expressway,18.912721,72.979232,Rainy,Wet,Highway,Dark,Moderate,1,0
A00022,2023-01-12,11:50,Morning,Market Road,19.261165,72.805604,Cloudy,Wet,Highway,Daylight,Severe,2,0
A00023,2023-01-13,05:00,Morning,Expressway,18.915679,73.008036,Clear,Dry,Urban Road,Dark,Moderate,1,0
